Food group,Food name,Quantity,Is fortified with,ENERCJ (kJ),ENERCC (kcal),WATER (g),PROT (g),PROTPL (g),PROTAN (g),NT (g),TRP (mg),FAT (g),FACID (g),FASAT (g),FAMSCIS (g),FAPU (g),FAPUN3 (g),FAPUN6 (g),FATRS (g),CHO (g),SUGAR (g),STARCH (g),POLYL (g),FIBT (g),ALC (g),OA (g),ASH (g),CHORL (mg),NA (mg),K (mg),CA (mg),P (mg),MG (mg),FE (mg),HAEM (mg),NHAEM (mg),CU (mg),SE (µg),ZN (mg),ID (µg),VITA_RAE (µg),VITA_RE (µg),RETOL (µg),CARTBTOT (µg),CARTA (µg),LUTN (µg),ZEA (µg),CRYPXB (µg),LYCPN (µg),VITD (µg),CHOCALOH (µg),CHOCAL (µg),ERGCAL (µg),VITE (mg),TOCPHA (mg),TOCPHB (mg),TOCPHD (mg),TOCPHG (mg),VITK (µg),VITK1 (µg),VITK2 (µg),THIA (mg),RIBF (mg),VITB6 (mg),VITB12 (µg),NIAEQ (mg),NIA (mg),FOL (µg),FOLFD (µg),FOLAC (µg),VITC (mg),F4:0 (g),F6:0 (g),F8:0 (g),F10:0 (g),F11:0 (g),F12:0 (g),F13:0 (g),F14:0 (g),F15:0 (g),F16:0 (g),F17:0 (g),F18:0 (g),F19:0 (g),F20:0 (g),F21:0 (g),F22:0 (g),F23:0 (g),F24:0 (g),F25:0 (g),F26:0 (g),FASATXR (g),F10:1CIS (g),F12:1CIS (g),F14:1CIS (g),F16:1CIS (g),F18:1CIS (g),F20:1CIS (g),F22:1CIS (g),F24:1CIS (g),FAMSCXR (g),F18:2CN6 (g),F18:2CN9 (g),F18:2CT (g),F18:2TC (g),F18:2R (g),F18:3CN3 (g),F18:3CN6 (g),F18:4CN3 (g),F20:2CN6 (g),F20:3CN9 (g),F20:3CN6 (g),F20:3CN3 (g),F20:4CN6 (g),F20:4CN3 (g),F20:5CN3 (g),F21:5CN3 (g),F22:2CN6 (g),F22:2CN3 (g),F22:3CN3 (g),F22:4CN6 (g),F22:5CN6 (g),F22:5CN3 (g),F22:6CN3 (g),F24:2CN6 (g),FAPUXR (g),F10:1TRS (g),F12:1TRS (g),F14:1TRS (g),F16:1TRS (g),F18:1TRS (g),F18:2TTN6 (g),F18:3TTTN3 (g),F20:1TRS (g),F20:2TT (g),F22:1TRS (g),F24:1TRS (g),FAMSTXR (g),FAUN (g)
"Fish, crustacean and shellfish",Mackerel prepared in microwave oven no ingredients added,per 100g,,1031,248,58,24.4,0,24.4,,,16.7,15.5,5,7.3,3.2,2.8,0.4,0,0,0,0,0,0,0,,,85,153,335,20,220,28,1,0.3,0.7,0.09,36,0.7,40.5,54,54,54,,,,,,,4.3,0,4.3,0,0.5,,,,,,,,0.17,0.3,0.4,6,,11.3,1,1,0,0,,,,,,0.05,,0.82,0.09,3.18,0.09,0.7,,0.05,,0.02,,0.02,,,0.03,,,0.02,0.9,3.67,1.02,1.47,0.19,,0.22,,,,,0.16,0.03,0.34,0.05,,,0.03,0.09,,0.78,,,,0,0.02,,0.16,1.35,,,,,,,,,,,,,,,
"Fish, crustacean and shellfish",Mackerel in oil tinned,per 100g,,1108,267,57,20,0,20,,,20.7,19.5,4.2,8.3,6.9,4.4,2.5,0.1,0.1,0.1,0,0,0.1,0,,,78,420,266,12,200,33,1.6,0.4,1.2,0.28,42,2.7,44,37,37,37,0,,,,,,4.3,0,4.3,0,3.5,,,,,,,,0.03,0.27,0.14,6.94,,5.3,10,10,0,0,,,0,0,,0,,0.99,0.08,2.43,0.06,0.56,,0.04,,0.04,,0.02,,,,,,,,,,,,8.27,2.35,,,,,0.53,0.04,0.7,0.04,,,0.04,0.08,,0.97,,,,0,0,,0.2,1.97,,,,,,,,,,,,,,,
"Fish, crustacean and shellfish",Salmon farmed prep in microwave oven no ingredients added,per 100g,,918,220,61.7,25.2,0,25.2,,304,13.2,12.2,2.7,6.2,3.3,2.7,0.5,0,0,0,0,0,0,0,,1.4,54,53,455,12,347,34,0.3,0.1,0.3,0.03,22,0.47,8,12,12,12,1,0,36,14,0,0,4.6,,4.6,0,4.1,3.8,0.3,0,1,,,,0.28,0.09,0.402,3.99,13.8,8.8,6.8,6.8,0,2,,,0,0,,0,,0.6,0.04,1.71,0.01,0.29,,0.01,,0,,0,,,,,,0,0.94,2.2,1.4,1.61,0.09,,0.44,,,,,0.12,0.01,0.23,0.05,,,0.01,0.05,,0.74,,,,0,0,,0.28,1.33,,,,,,,,,,,,,,,0.49
"Fish, crustacean and shellfish",Trout prepared in microwave oven no ingredients added,per 100g,,587,140,71.8,24.5,0,24.5,,296,4.6,4.1,1,1.5,1.6,1.2,0.4,0,0,0,0,0,0,0,,1.4,68,74,497,35,325,32,0.4,0.1,0.3,0.04,16,0.57,8,14,14,14,1,0,28,14,0,0,9.4,,9.4,0,1.7,1.7,0,0,0.1,,,,0.13,0.1,0.305,5.72,11.8,6.9,21.6,21.6,0,1,,,0,0,,0,,0.15,0.02,0.67,0.01,0.14,,0,,0,,0,,,,,,0,0.22,0.81,0.22,0.24,0.02,,0.36,,,,,0.07,0.01,0.06,0.03,,,0,0.03,,0.2,,,,0,0,,0.06,0.8,,,,,,,,,,,,,,,
"Fish, crustacean and shellfish",Rainbow trout prepared in microwave oven no ingredients added,per 100g,,699,167,68.3,23.7,0,23.7,,,8,7.1,1.3,5.3,0.6,0.5,0.1,0,0,0,0,0,0,0,,,83,88,335,20,220,,1,0.3,0.7,,,,25,14,14,14,,,,,,,9.4,,,0,,,,,,,,,0.17,0.3,0.4,5,,11.3,21.6,21.6,0,0,,,0,0,,0,,0.21,0.14,0.75,0.01,0.15,,0.01,,0,,0,,,,,,0.01,0.74,1.6,1.52,1.31,0.07,,0.05,,,,,0.01,0.01,0.04,0.02,,,0,0.02,,0.17,,,,0,0,,0.04,0.25,,,,,,,,,,,,,,,
"Fish, crustacean and shellfish",Cod prepared in microwave oven no ingredients added,per 100g,,414,98,77.2,23.5,0,23.5,3.8,234,0.4,0.3,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,,1.3,35,108,427,16,216,32,0.2,0,0.1,0.02,44,0.5,243,2,2,2,0,1,0,0,0,0,1.1,0,1.1,0,0.7,0.7,0,0,0,,,,0.04,0.1,0.13,2.2,5.7,1.8,8,8,0,0,,,,0,0,0,,0,0,0.07,0,0.02,,0,0,0,0,0,,,,,,,0.01,0.07,0.01,0,0,,0.01,0,,,,0,0,0,0,0,0,,0.01,,0.04,,0,,,0,0,0.01,0.08,0,,,,,0,0,0,,0,,0,,,0
"Fish, crustacean and shellfish",Haddock prepared in microwave oven no ingredients added,per 100g,,424,100,76.5,22.3,0,22.3,,,1.2,1,0.2,0.3,0.5,0.4,0.1,0,0,0,0,0,0,0,,,91,73,270,27,156,25,0.4,0.1,0.3,,57,0.53,322,0,0,0,,,,,,,,,,0,,,,,,,,,0.11,0.11,0.176,2,,4.9,9,9,0,,,,,,,0,,0.01,0,0.14,0,0.06,,0,,0,,0,,,0,,,0,0.04,0.14,0.02,0.08,0,,0.02,,,,,0,0,0,0,,,0,0.03,,0.06,,,,0,0,,0.02,0.35,,,,,,,,,,,,,,,
"Fish, crustacean and shellfish",Pollack (Atlantic) prep in microwave oven no ingredients added,per 100g,,459,108,73.3,24.5,0,24.5,,272,1.2,0.9,0.3,0.2,0.5,0.4,0,0,0,0,0,0,0,0,,1.8,86,134,690,15,383,48,0.5,0.1,0.4,0.06,32,0.71,100,6,6,6,0,0,1,0,0,0,0.6,0,0.6,0,1.2,1.2,0,0,0,,,,0.08,0.17,0.244,4.44,7.9,3.4,19.6,19.6,0,0,,,0,0,,0,,0.01,0,0.18,0,0.06,,0,,0,,0,,,,,,0,0.02,0.12,0.03,0.05,0,,0.01,,,,,0,0,0.01,0,,,0,0.01,,0.1,,,,0,0,,0.01,0.33,,,,,,,,,,,,,,,0.03
"Fish, crustacean and shellfish",Whiting prepared in microwave oven no ingredients added,per 100g,,428,101,76.5,22.1,0,22.1,,,1.4,1.1,0.3,0.2,0.7,0.6,0,0,0,0,0,0,0,0,,,91,110,270,27,156,25,0.5,0.1,0.4,0.01,48,0.53,108,24,24,24,,,,,,,0,0,0,0,,,,,,,,,0.11,0.11,0.176,2,,4.9,7,7,0,0,,,0,0,,0,,0.01,0,0.21,0,0.06,,0,,0,,0,,,,,,0,0.02,0.14,0.02,0.01,0,,0.01,,,,,0,0,0.01,0,,,0,0.03,,0.13,,,,0,0,,0.02,0.47,,,,,,,,,,,,,,,
"Fish, crustacean and shellfish",Plaice prepared in microwave oven no ingredients added,per 100g,,591,140,68.4,29,0,29,,,2.6,2.4,0.6,0.8,0.7,0.6,0.1,0,0,0,0,0,0,0,,,98,110,250,53,300,22,0.5,0.1,0.4,0.02,42,,35,8,8,8,,,,,,,1.1,0,1.1,0,0.9,0.9,0,0,0,,,,0.26,0.17,0.23,1,,4,12,12,0,2,,,,0,0,0,,0.12,0.02,0.38,0.01,0.09,,0,0,0,0,0,,,,,,,0.37,0.37,0.07,0.01,0.01,,0.06,0,,,,0.07,0,0.05,0.02,0,0,,0.02,,0.2,,0,,,0.01,0.01,0.08,0.2,0,,,,,0.02,0.01,0,,0,,0,,,0.17
"Fish, crustacean and shellfish",Schar/tongschar bereid in magnetron z toev,per 100g,,504,119,73.5,23.9,0,23.9,,,2.6,2.2,0.6,0.7,0.9,0.7,0.1,0,0,0,0,0,0,0,,,98,110,270,27,156,,0.7,0.2,0.5,,,,30,14,14,14,,,,,,,,,,0,,,,,,,,,0.11,0.11,0.23,1.81,,4.9,8,8,0,2,,,0,0,,0,,0.08,0.02,0.38,0.01,0.08,,0,,0,,0,,,,,,0,0.23,0.38,0.08,0.03,0.01,,0.02,,,,,0.01,0,0.03,0.01,,,0,0.07,,0.27,,,,0,0.02,,0.09,0.35,,,,,,,,,,,,,,,
"Fish, crustacean and shellfish",Sole prepared in microwave oven no ingredients added,per 100g,,492,116,73.5,24.5,0,24.5,,,2.1,1.7,0.5,0.5,0.5,0.4,0.1,0,0,0,0,0,0,0,,,92,120,270,27,156,25,0.4,0.1,0.3,0.02,51,0.46,16,30,30,30,,,,,,,8,,,0,0.8,,,,,,,,0.11,0.11,0.23,1,,4.9,11,11,0,2,,,0,0,,0,,0.06,0.01,0.33,0.01,0.08,,0,,0,,,,,,,,0,0.16,0.29,0.05,0,0,,0.02,,,,,0.01,0,0.01,0,,,0,0.05,,0.14,,,,0,0.03,,0.12,0.16,,,,,,,,,,,,,,,0.13
"Fish, crustacean and shellfish",Flounder prepared in microwave oven no ingredients added,per 100g,,446,106,76.1,21.9,0,21.9,,,2,1.8,0.6,0.7,0.5,0.4,0.1,0,0,0,0,0,0,0,,,92,120,270,27,156,25,0.7,0.2,0.5,0.04,32,0.6,31,13,13,13,,,,,,,0,0,0,0,0.5,,,,,,,,0.11,0.11,0.23,1,,4.9,11,11,0,2,,,,,,0.01,,0.05,0.02,0.39,0.01,0.09,,0,,0,,0,,,0.01,,,0,0.21,0.4,0.13,0,0,,0.02,,,,,0.01,0,0.01,0.01,,,0,0.06,,0.18,,,,0,0.01,,0.05,0.11,,,,,,,,,,,,,,,
"Fish, crustacean and shellfish",Gurnard prepared in microwave oven no ingredients added,per 100g,,718,171,66.5,26.1,0,26.1,,,7.4,6.1,1.8,2.3,1.9,1.7,0.2,0,0,0,0,0,0,0,,,95,78,368,83,178,,0.5,0.1,0.4,,,,,14,14,14,1,0,,,0,,9.4,,,0,,,,,,,,,0.05,0.15,,0.86,,9,21.6,21.6,0,1,,,,,,0.01,,0.21,0.02,1.18,0.02,0.34,,0.01,,0.01,,0.01,,,0.01,,,0.02,0.54,1.51,0.15,0.09,0.02,,0.06,,,,,0.03,0,0.06,0.01,,,0.01,0.11,,0.46,,,,0,0.02,,0.17,1.01,,,,,,,,,,,,,,,
"Fish, crustacean and shellfish",Ocean perch prepared in microwave oven no ingredients added,per 100g,,538,128,73.4,22.3,0,22.3,,,4.3,3.8,1.1,1.7,1.1,1,0.1,0,0,0,0,0,0,0,,,54,347,226,34,300,27,0.3,0.1,0.2,,,0.35,3.7,15,15,15,0,0,,,0,,1.4,,,0,0.9,,,,,,,,0.05,0.06,0.084,1.72,,,10,10,0,0,,,0,0,,0,,0.21,0.02,0.72,0.01,0.12,,0,,0,,0,,,,,,0.01,0.26,0.77,0.29,0.32,0.02,,0.07,,,,,0.03,0,0.06,0.01,,,0.01,0.03,,0.36,,,,0,0,,0.03,0.46,,,,,,,,,,,,,,,0.18
"Fish, crustacean and shellfish",Wolf fish prepared in microwave oven no ingredients added,per 100g,,536,127,71.9,25.2,0,25.2,,,2.9,2.6,0.6,1.1,0.9,0.7,0.2,0,0,0,0,0,0,0,,,54,142,320,18,240,36,0.6,0,0.6,0.07,,0.9,120,15,15,15,,,,,,,0.7,,,0,2.8,,,,,,,,0.23,0.09,0.46,3,,2.7,1,1,0,0,,,0,0,,0,,0.08,0.01,0.36,0.01,0.1,,0,,0.01,,0,,,,,,0,0.28,0.58,0.21,0.02,0,,0.03,,,,,0,0,0.02,0.03,,,0,0.12,,0.37,,,,0,0.02,,0.07,0.28,,,,,,,,,,,,,,,0.11
"Fish, crustacean and shellfish",Eel prepared in microwave oven no ingredients added,per 100g,,865,207,64.4,24.3,0,24.3,,,12.2,11.2,3.3,5.7,2.2,1.6,0.6,0,0,0,0,0,0,0,,,163,60,250,20,200,19,1,0.3,0.7,0.05,30,1.75,3.8,1043,1043,1043,0,,,,,,4.9,,,0,4.1,,,,,,,,0.1,0.35,0.17,4,,1.4,12,12,0,2,,,0,0,,0.03,,0.54,0.05,2.06,0.07,0.52,,0.02,,0,,0,,,,,,0.16,1.15,4.19,0.23,0.01,0.01,,0.3,,,,,0.29,0.01,0.03,0.06,,,0.05,0.17,,0.44,,,,0,0.08,,0.37,0.44,,,,,,,,,,,,,,,
