Food group,Food name,Quantity,Is fortified with,ENERCJ (kJ),ENERCC (kcal),WATER (g),PROT (g),PROTPL (g),PROTAN (g),NT (g),TRP (mg),FAT (g),FACID (g),FASAT (g),FAMSCIS (g),FAPU (g),FAPUN3 (g),FAPUN6 (g),FATRS (g),CHO (g),SUGAR (g),STARCH (g),POLYL (g),FIBT (g),ALC (g),OA (g),ASH (g),CHORL (mg),NA (mg),K (mg),CA (mg),P (mg),MG (mg),FE (mg),HAEM (mg),NHAEM (mg),CU (mg),SE (µg),ZN (mg),ID (µg),VITA_RAE (µg),VITA_RE (µg),RETOL (µg),CARTBTOT (µg),CARTA (µg),LUTN (µg),ZEA (µg),CRYPXB (µg),LYCPN (µg),VITD (µg),CHOCALOH (µg),CHOCAL (µg),ERGCAL (µg),VITE (mg),TOCPHA (mg),TOCPHB (mg),TOCPHD (mg),TOCPHG (mg),VITK (µg),VITK1 (µg),VITK2 (µg),THIA (mg),RIBF (mg),VITB6 (mg),VITB12 (µg),NIAEQ (mg),NIA (mg),FOL (µg),FOLFD (µg),FOLAC (µg),VITC (mg),F4:0 (g),F6:0 (g),F8:0 (g),F10:0 (g),F11:0 (g),F12:0 (g),F13:0 (g),F14:0 (g),F15:0 (g),F16:0 (g),F17:0 (g),F18:0 (g),F19:0 (g),F20:0 (g),F21:0 (g),F22:0 (g),F23:0 (g),F24:0 (g),F25:0 (g),F26:0 (g),FASATXR (g),F10:1CIS (g),F12:1CIS (g),F14:1CIS (g),F16:1CIS (g),F18:1CIS (g),F20:1CIS (g),F22:1CIS (g),F24:1CIS (g),FAMSCXR (g),F18:2CN6 (g),F18:2CN9 (g),F18:2CT (g),F18:2TC (g),F18:2R (g),F18:3CN3 (g),F18:3CN6 (g),F18:4CN3 (g),F20:2CN6 (g),F20:3CN9 (g),F20:3CN6 (g),F20:3CN3 (g),F20:4CN6 (g),F20:4CN3 (g),F20:5CN3 (g),F21:5CN3 (g),F22:2CN6 (g),F22:2CN3 (g),F22:3CN3 (g),F22:4CN6 (g),F22:5CN6 (g),F22:5CN3 (g),F22:6CN3 (g),F24:2CN6 (g),FAPUXR (g),F10:1TRS (g),F12:1TRS (g),F14:1TRS (g),F16:1TRS (g),F18:1TRS (g),F18:2TTN6 (g),F18:3TTTN3 (g),F20:1TRS (g),F20:2TT (g),F22:1TRS (g),F24:1TRS (g),FAMSTXR (g),FAUN (g)
Potatoes and tubers,Potatoes raw,per 100g,,371,88,77,2,2,0,,,0,0,0,0,0,0,0,0,19,1,18,0,1.8,0,,,0,2,450,6,60,22,0.5,0,0.5,0.09,1,0.37,2.5,1,1,0,5,0,100,16,3,0,0,0,0,0,0.1,,,,,,,,0.12,0.04,0.3,0,,1.2,23,23,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Potatoes and tubers,Potatoes new raw,per 100g,,371,88,77,2,2,0,,,0,0,0,0,0,0,0,0,19,1,18,0,1.8,0,,,0,2,450,6,60,14,0.5,0,0.5,0.09,1,0.2,2.5,0,0,0,3,0,13,4,0,0,0,0,0,0,0.1,,,,,,,,0.12,0.04,0.3,0,,1.2,23,23,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Potatoes and tubers,Potatoes old raw,per 100g,,371,88,77,2,2,0,,,0,0,0,0,0,0,0,0,19,1,18,0,1.8,0,,,0,2,450,6,60,17,0.5,0,0.5,0.08,1,0.3,2.5,1,1,0,8,0,60,,,0,0,0,0,0,0.1,,,,,,,,0.12,0.04,0.22,0,,1.2,23,23,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cereals and cereal products,Pasta white raw,per 100g,,1511,356,10,12.3,12.3,0,,,1.5,1,0.2,0.2,0.6,0,0.6,0,72,1,71,0,3,0,,,0,2,100,15,125,53,2,0,2,0.3,5,1.5,0.6,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0.2,0.2,,0.1,0.06,0.08,0,,2,11,11,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0.61,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cereals and cereal products,Rice white raw,per 100g,,1492,352,13,7,7,0,,,1,0.9,0.2,0.3,0.4,0,0.4,0,78,0,78,0,1.3,0,,,0,2,100,10,100,13,0.4,0,0.4,0.37,13,1.8,2.2,0,0,0,0,,,,,,0,0,0,0,0.1,,,,,0.1,0.1,,0.04,0.03,0.12,0,,1,20,20,0,0,0,0,0,0,,0,,0,0,0.21,0,0.02,,0,,0,,0,,,,,,0,0,0.26,0,0,,0,0.36,,,,,0,,0,0,,,,,,0,,,,0,0,,,0,,0,,,,,,,,,,,,,
Vegetables,Endive raw,per 100g,,68,16,95.1,1.5,1.5,0,,15,0.3,0.2,0,0,0.2,0.1,0,0,1,1,0,0,1.7,0,,0.7,0,29,253,54,36,11,1.2,0,1.2,0.05,1,0.55,6.4,76,151,0,905,3,1516,4,0,16,0,0,0,0,0.3,0.3,0,0,0.4,231,231,,0.05,0.06,0.057,0,0.6,0.4,35.2,35.2,0,1,0,0,0,0,0,0,0,0,0,0.04,0,0.01,,0,0,0,0,0,,,,,,0,0,0.01,0,0,0,0,0.05,,,,,0.12,0,,0,,0,0,0,,0,,0,0,,,,,0,,,,,0,0,0,,,0,,0,0,,
Vegetables,Endive boiled,per 100g,,93,22,93.5,1.4,1.4,0,,3,0.5,0.3,0.1,0,0.2,0.2,0.1,0,2.3,1.6,0.7,0,1.7,0,,0.7,0,5,163,60,25,9,0.5,0,0.5,0.06,0,0.27,6.4,189,377,0,2240,8,2926,6,39,26,0,0,0,0,0.8,0.6,0,0,1.2,337,337,,0.05,0.06,0.081,0,0.5,0.5,45,45,0,1,0,0,0,0,0,0,0,0,0,0.05,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.07,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegetables,Asparagus white raw,per 100g,,93,22,94,1,1,0,,,0.3,0.3,0.1,0,0.2,0,0.2,0,3,1,2,0,1.7,0,,,0,1,200,20,60,20,1,0,1,0.08,1,0.5,0.2,0,0,0,1,1,25,0,0,0,0,0,0,0,1.2,,,,,41.6,41.6,,0.1,0.07,0.03,0,,0.6,175,175,0,30,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.19,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Vegetables,Aubergine/eggplant raw,per 100g,,84,20,93,1,1,0,,,0,0,0,0,0,0,0,0,3,3,0,0,2,0,,,0,2,200,10,12,11,0.5,0,0.5,0.01,0,0.2,1,6,12,0,40,60,,,0,,0,0,0,0,0,,,,,6.1,6.1,,0.04,0.05,0.07,0,,0.6,18,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Vegetables,Aubergine/eggplant boiled,per 100g,,88,21,93,1,1,0,,,0,0,0,0,0,0,0,0,3,3,0,0,2.5,0,,,0,10,200,10,12,8,0.5,0,0.5,0.01,1,0.1,1.2,6,12,0,40,60,,,0,,0,0,0,0,0,,,,,6.1,6.1,,0.04,0.05,0.06,0,,0.6,5,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Vegetables,Beetroot raw,per 100g,,158,38,89,1.7,1.7,0,,,0.1,0.1,0,0,0,0,0,0,6,6,0,0,2.9,0,,,0,70,400,10,40,14,0.4,0,0.4,0.02,0,0.4,0.5,1,2,0,9,7,0,40,,26,0,0,0,0,0.1,,,,,0.2,0.2,,0.05,0.05,0.045,0,,0.1,19,19,0,2,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Vegetables,Celery boiled,per 100g,,60,14,92,1,1,0,,,0,0,0,0,0,0,0,0,2,1,1,0,1.1,0,,,0,60,320,80,40,4,0.5,0,0.5,0.01,3,0.1,1.1,242,483,0,2900,0,7200,,,0,0,0,0,0,0.2,,,,,37.8,37.8,,0.08,0.15,0.06,0,,0.8,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Vegetables,Cauliflower raw,per 100g,,107,25,91.8,1.9,1.9,0,,20,0.2,0.1,0,0,0.1,0.1,0,0,3,2.4,0.6,0,2.2,0,,0.9,0,8,296,28,48,12,0.3,0,0.3,0.03,0,0.37,2.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1,31,31,,0.05,0.06,0.132,0,0.9,0.5,67.1,67.1,0,25,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Vegetables,Cauliflower boiled,per 100g,,92,22,93.4,1.8,1.8,0,,22,0.4,0.3,0.1,0,0.2,0.2,0,0,1.8,1.2,0.6,0,2.3,0,,0.4,0,10,224,25,47,9,0.3,0,0.3,0.05,0,0.26,2.5,0,0,0,0,0,13,0,0,0,0,0,0,0,0.1,0.1,0,0,0.5,28.5,28.5,,0.02,0.05,0.063,0,0.8,0.5,95.1,95.1,0,22,0,0,0,0,0,0,0,0,0,0.06,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.03,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegetables,Kale curly boiled,per 100g,,139,33,88.4,2.7,2.7,0,0.4,,1.3,0.9,0.3,0.3,0.4,0.3,0.1,0,1,0.9,0.1,0,3.5,0,,,0,6,229,231,46,13,1.1,0,1.1,0.03,2,0.2,2,175,350,0,2097,0,6097,233,0,0,0,0,0,0,2.7,2.6,0.1,0,0,817,817,0,0,0.03,0.09,0,,0.4,97,97,0,25,0,0,0,0,0,0,0,0,0,0.15,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0.13,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vegetables,Mushrooms chanterelle raw,per 100g,,68,16,90,1.8,1.8,0,0.3,,0,0,0,0,0,0,0,0,1,0,1,0,2.5,0,,1.5,0,5,500,10,80,7,0.5,0,0.5,0.42,0,0.97,3.3,108,217,0,1300,0,0,0,0,0,0,0,0,0,0.1,,,,,,,,0.07,0.3,0.02,0,,5,44,44,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Vegetables,Mushrooms chanterelle boiled,per 100g,,85,20,90,1.8,1.8,0,,,0,0,0,0,0,0,0,0,2,0,2,0,2.5,0,,,0,5,500,10,80,7,0.5,0,0.5,0.42,0,0.97,3.3,190,380,0,2281,0,0,0,0,0,0,0,0,0,0.1,,,,,,,,0.07,0.3,0.01,0,,5,8,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Vegetables,Mushroom raw,per 100g,,75,18,94.4,2.3,2.3,0,0.5,,0.5,0.4,0.1,0,0.3,0.2,0.1,0,0.4,0.2,0.2,0,1.5,0,,1,0,5,320,6,80,9,0.2,0,0.2,0.72,0,0.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,,,0.3,0.3,,0.07,0.3,0.12,0,,4,44,44,0,4,0,0,0,0,0,0,0,0,0,0.11,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Vegetables,Mushroom boiled,per 100g,,90,21,90,3.8,3.8,0,,,0.3,0.2,0.1,0,0.2,0.1,0,0,0.4,0.2,0.2,0,1.1,0,,,0,5,250,5,64,7,1,0,1,0.4,7,0.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,,,0,0,,0.07,0.3,0.07,0,,4,8,8,0,1,0,0,0,0,0,0,0,0,0,0.07,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegetables,Cabbage Chinese raw,per 100g,,71,17,94.5,1,1,0,,,0,0,0,0,0,0,0,0,2,0,2,0,2.5,0,,,0,10,250,125,45,11,1,0,1,0.02,0,0.23,2,1,3,0,15,0,40,,0,0,0,0,0,0,0.1,,,,,31.8,31.8,,0.03,0.04,0.05,0,,0.6,77,77,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegetables,Cabbage Chinese boiled,per 100g,,71,17,94.5,1,1,0,,,0,0,0,0,0,0,0,0,2,0,2,0,2.5,0,,,0,10,250,125,45,11,1,0,1,0.02,0,0.17,2,1,3,0,15,0,40,,0,0,0,0,0,0,0.1,,,,,34,34,,0.03,0.04,0.03,0,,0.6,55,55,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegetables,Peas raw,per 100g,,276,65,82,4,4,0,,,0,0,0,0,0,0,0,0,10,1,9,0,4.7,0,,,0,10,300,20,80,30,2,0,2,0.11,1,1.1,2,47,94,0,557,16,1790,0,0,0,0,0,0,0,0,,,,,39,39,,0.17,0.15,0.09,0,,2.7,59,59,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Vegetables,Cabbage green raw,per 100g,,151,36,89.2,2.4,2.4,0,,0,0.2,0.1,0,0,0.1,0.1,0,0,4.1,4.1,0,0,4.1,0,,,0,7,288,56,37,14,0.5,0,0.5,0.04,1,0.3,1,38,76,0,454,,80,0,0,0,0,0,0,0,0.1,0,0.2,0,0,242,242,,0.33,0.04,0.14,0,0.6,0.6,45,45,0,30,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.03,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
Vegetables,Cabbage green boiled,per 100g,,90,21,93.8,1.5,1.5,0,,0,0.2,0.1,0,0,0.1,0.1,0,0,2.3,2.3,0,0,2.2,0,,,0,5,187,54,29,9,0.4,0,0.4,0.03,1,0.2,1,26,53,0,317,0,414,0,0,0,0,0,0,0,0.3,0.3,0,0,0,201,201,,0.15,0.05,0.07,0,0.3,0.3,40,40,0,45,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.03,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
Vegetables,Celeriac boiled,per 100g,,158,38,88,2,2,0,,,0,0,0,0,0,0,0,0,5,0,5,0,4.9,0,,,0,80,400,80,90,13,1,0,1,0.03,3,0.1,2,2,4,0,13,13,,,13,,0,0,0,0,0.5,0.5,0,,0.1,41,41,,0.03,0.03,0.09,0,,0.8,37,37,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Vegetables,Cucumber wo skin raw,per 100g,,63,15,96.1,0.6,0.6,0,,4,0.2,0.2,0.1,0,0.1,0,0,0,2.5,1.7,0.8,0,0.3,0,,0.3,0,2,145,22,25,10,0.4,0,0.4,0.02,0,0.22,3,6,11,0,66,0,165,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,0.01,0.01,0.026,0,0.2,0.2,6,6,0,1,0,0,0,0,0,0,0,0,0,0.06,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.04,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vegetables,Cucumber boiled,per 100g,,70,17,97,1,1,0,,,0,0,0,0,0,0,0,0,3,3,0,0,0.3,0,,,0,5,200,20,30,10,0.5,0,0.5,0.02,0,0.22,3,1,2,0,10,0,16,0,0,0,0,0,0,0,0,0,0,0,0,20.9,20.9,,0.03,0.01,0.02,0,,0.2,3.6,3.6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vegetables,Swede boiled,per 100g,,138,33,90.4,0.7,0.7,0,,,0.1,0.1,0,0,0.1,0,0,0,5.8,5.7,0.1,0,3,0,,,0,4,175,37,32,8,0.2,0,0.2,0.02,0,0.1,0,2,4,0,8,6,0,,22,112,0,0,0,0,0,0,0,0,0,2,2,,0.02,0,0.07,0,,0.5,19,19,0,15,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.01,0,0,0,,0.02,0,0,0,,0.03,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,0,0,0,,0
Vegetables,Kohlrabi boiled,per 100g,,129,31,90,2,2,0,,,0.3,0.3,0,0,0.2,,,0,4,0,4,0,2,0,,,0,10,500,90,60,43,1,0,1,0.01,1,0.26,1,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0.1,0.1,,0.04,0.05,0.06,0,,0.4,47,47,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetables,Sweet pepper green raw,per 100g,,78,19,94.6,0.8,0.8,0,,6,0.1,0.1,0,0,0,0,0,0,2.5,2.5,0,0,2.5,0,,0.3,0,0,178,7,24,9,0.3,0,0.3,0.03,0,0.23,1,15,30,0,176,3,590,20,0,1,0,0,0,0,0.9,0.9,0,0,0.1,7.4,7.4,,0.02,0.02,0.202,0,0.8,0.7,11.1,11.1,0,71,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Vegetables,Sweet pepper green boiled,per 100g,,73,17,94.5,0.6,0.6,0,,7,0.2,0.1,0,0,0.1,0,0.1,0,2.3,2,0.3,0,2.2,0,,0.3,0,2,126,10,19,8,0.5,0,0.5,0.04,0,0.23,1,19,38,0,225,6,598,20,0,1,0,0,0,0,0.9,0.9,0,0,0.1,9.8,9.8,,0.02,0.02,0.179,0,0.7,0.6,16,16,0,70,0,0,0,0,0,0,0,0,0,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.06,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fruits,Raisins dried,per 100g,,1378,325,16.8,3.1,3.1,0,,,0.5,0.3,0.1,0,0.1,0,0.1,0,71.7,69,2.7,0,3.7,0,4.7,,0,25,800,50,90,42,2,0,2,0.39,8,0.18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,,,,3.7,3.7,,0.08,0.03,0.15,0,,0.5,10,10,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.1,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Vegetables,Mange-tout raw,per 100g,,139,33,89,2,2,0,,,0,0,0,0,0,0,0,0,5,0,5,0,2.5,0,,,0,5,250,40,30,28,0.5,0,0.5,0.06,1,0.5,,7,15,0,30,118,263,0,,38,0,0,0,0,0.4,,,,,15,15,,0.15,0.06,0.09,0,,0.6,10,10,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Vegetables,Purslane boiled,per 100g,,54,13,95,1,1,0,,,0,0,0,0,0,0,0,0,1,1,0,0,2.5,0,,,0,30,800,125,70,67,3,0,3,0.11,,0.17,4.5,325,651,0,3871,9,6628,18,57,150,0,0,0,0,,,,,,,,,0.06,0.04,0.03,0,,0.2,124.5,124.5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Vegetables,Leek boiled,per 100g,,92,22,93.8,1.1,1.1,0,,12,0.5,0.4,0.1,0,0.3,0.1,0.2,0,2.1,1.5,0.6,0,2.3,0,,0.2,0,3,222,41,22,10,0.3,0,0.3,0.05,0,0.19,2.5,27,53,0,318,2,772,2,0,4,0,0,0,0,0.8,0.8,0,0,0.1,9.5,9.5,,0.03,0.03,0.096,0,0.4,0.2,40.6,40.6,0,5,,,,0,0,0,,0,0,0.06,0,0.01,,0,0,0,0,0.01,,,,,,,0,0.01,0,0,0,,0.15,0,,,,0.11,0,0,0,0,0,,0,,0,,0,,,0,0,0,0,0,,,,,0,0,0,,0,,0,,,0.01
Vegetables,Turnip tops raw,per 100g,,69,17,94,2,2,0,,,0,0,0,0,0,0,0,0,1,0,1,0,2.3,0,,,0,40,296,100,45,10,3,0,3,0.09,,0.4,2,183,365,0,2191,0,4192,8,0,72,0,0,0,0,0,,,,,251,251,,0.05,0.15,0.09,0,,0.8,126,126,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Vegetables,Turnip tops boiled,per 100g,,69,17,94,2,2,0,,,0,0,0,0,0,0,0,0,1,0,1,0,2.3,0,,,0,29,203,100,45,10,3,0,3,0.09,,0.4,2,325,651,0,3871,9,6628,18,57,150,0,0,0,0,2.9,,,,,367.6,367.6,,0.05,0.15,0.05,0,,0.8,120,120,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Vegetables,Rhubarb raw,per 100g,,97,23,93,1,1,0,,,0,0,0,0,0,0,0,0,2,2,0,0,1.8,0,2.4,,0,5,300,40,30,14,0.5,0,0.5,0.07,0,0.1,1,5,10,0,61,0,170,,0,0,0,0,0,0,0.2,,,,,29.3,29.3,,0.05,0.02,0.03,0,,0.1,7,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Vegetables,Cabbage red raw,per 100g,,114,27,91,2,2,0,,,0,0,0,0,0,0,0,0,3,3,0,0,3.6,0,,,0,9,300,50,30,17,0.4,0,0.4,0.01,1,0.3,2,2,3,0,18,0,33,0,0,0,0,0,0,0,0.2,,,,,38.2,38.2,,0.09,0.03,0.12,0,,0.2,24,24,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
Vegetables,Cabbage red boiled,per 100g,,96,23,89.8,1.3,1.3,0,,,0,0,0,0,0,0,0,0,3,3,0,0,2.9,0,,,0,9,275,42,31,11,0.3,0,0.3,0.03,0,0.16,2,1,1,0,7,0,23,4,0,0,0,0,0,0,0.1,0.1,0,0,0.1,47.6,47.6,,0.09,0.03,0.11,0,,0.2,21,21,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
